OrderDetailID,OrderID,ProductID,Quantity,Price,UnitPrice
1,1662,594,2,72.000đ,36.000đ
2,1562,17,16,107.104.000đ,6.694.000đ
3,1308,358,8,265.744.000đ,33.218.000đ
4,2770,421,1,136.000đ,136.000đ
5,827,298,8,64.000đ,8.000đ
6,696,167,4,2.344.000đ,586.000đ
7,2167,226,5,8.195.000đ,1.639.000đ
8,2642,193,5,1.100.000đ,220.000đ
9,2855,318,5,8.335.000đ,1.667.000đ
10,1390,352,8,186.016.000đ,23.252.000đ
11,1988,530,2,2.746.000đ,1.373.000đ
12,821,64,20,1.860.000đ,93.000đ
13,2042,462,3,339.000đ,113.000đ
14,578,329,7,88.949.000đ,12.707.000đ
15,2887,434,12,16.908.000đ,1.409.000đ
16,1579,123,11,1.210.000đ,110.000đ
17,1700,597,15,211.350.000đ,14.090.000đ
18,2367,42,10,5.030.000đ,503.000đ
19,313,197,17,20.179.000đ,1.187.000đ
20,2982,322,2,160.000đ,80.000đ
21,1682,428,5,570.000đ,114.000đ
22,1342,445,1,71.000đ,71.000đ
23,527,37,10,12.600.000đ,1.260.000đ
24,2441,145,13,625.729.000đ,48.133.000đ
25,1315,588,14,181.818.000đ,12.987.000đ
26,197,194,1,126.000đ,126.000đ
27,2675,539,3,480.000đ,160.000đ
28,2915,3,5,23.865.000đ,4.773.000đ
29,2009,391,16,6.256.000đ,391.000đ
30,2621,379,8,488.000đ,61.000đ
31,1607,506,13,2.678.000đ,206.000đ
32,200,562,2,448.000đ,224.000đ
33,623,456,6,420.000đ,70.000đ
34,1514,467,1,46.687.000đ,46.687.000đ
35,30,497,9,4.563.000đ,507.000đ
36,1816,80,17,2.635.000đ,155.000đ
37,1947,499,16,731.792.000đ,45.737.000đ
38,1658,41,9,60.786.000đ,6.754.000đ
39,1941,121,5,2.050.000đ,410.000đ
40,2164,196,19,252.358.000đ,13.282.000đ
41,564,9,11,426.041.000đ,38.731.000đ
42,1286,206,10,7.820.000đ,782.000đ
43,1813,178,9,11.430.000đ,1.270.000đ
44,1245,573,14,2.016.000đ,144.000đ
45,1387,31,1,204.000đ,204.000đ
46,2093,76,1,63.000đ,63.000đ
47,563,339,11,17.589.000đ,1.599.000đ
48,2927,410,13,1.742.000đ,134.000đ
49,296,115,3,75.000đ,25.000đ
50,2446,401,19,1.520.000đ,80.000đ
51,54,142,12,19.080.000đ,1.590.000đ
52,1194,364,12,51.600.000đ,4.300.000đ
53,51,255,13,4.797.000đ,369.000đ
54,2627,402,4,78.132.000đ,19.533.000đ
55,1201,483,12,7.656.000đ,638.000đ
56,1651,51,4,636.000đ,159.000đ
57,2515,121,16,6.560.000đ,410.000đ
58,1190,569,9,171.738.000đ,19.082.000đ
59,2435,1,4,124.000đ,31.000đ
60,582,294,14,202.398.000đ,14.457.000đ
61,371,189,12,3.372.000đ,281.000đ
62,2629,19,14,1.204.000đ,86.000đ
63,837,416,13,923.000đ,71.000đ
64,245,263,10,1.460.000đ,146.000đ
65,723,129,1,4.904.000đ,4.904.000đ
66,430,411,8,22.752.000đ,2.844.000đ
67,757,499,6,274.422.000đ,45.737.000đ
68,2454,181,8,408.000đ,51.000đ
69,2041,225,5,1.470.000đ,294.000đ
70,682,331,5,935.000đ,187.000đ
71,2553,420,6,13.320.000đ,2.220.000đ
72,1881,270,2,2.120.000đ,1.060.000đ
73,513,382,3,597.000đ,199.000đ
74,956,163,12,13.776.000đ,1.148.000đ
75,2051,334,19,100.339.000đ,5.281.000đ
76,1106,459,12,12.288.000đ,1.024.000đ
77,2562,374,12,13.152.000đ,1.096.000đ
78,1292,530,20,27.460.000đ,1.373.000đ
79,1218,441,12,56.352.000đ,4.696.000đ
80,760,457,17,233.733.000đ,13.749.000đ
81,2605,424,19,20.748.000đ,1.092.000đ
82,228,251,11,46.706.000đ,4.246.000đ
83,1988,146,16,334.160.000đ,20.885.000đ
84,1291,11,19,1.710.000đ,90.000đ
85,1925,87,6,54.474.000đ,9.079.000đ
86,2683,540,6,570.000đ,95.000đ
87,1795,165,5,13.495.000đ,2.699.000đ
88,2410,579,5,1.130.000đ,226.000đ
89,965,226,14,22.946.000đ,1.639.000đ
90,2685,410,2,268.000đ,134.000đ
91,1121,285,7,26.740.000đ,3.820.000đ
92,2509,573,11,1.584.000đ,144.000đ
93,1073,316,9,23.958.000đ,2.662.000đ
94,2031,418,14,203.266.000đ,14.519.000đ
95,2905,477,18,306.000đ,17.000đ
96,2576,99,10,115.470.000đ,11.547.000đ
97,2049,50,17,18.241.000đ,1.073.000đ
98,2964,6,14,2.632.000đ,188.000đ
99,1219,341,14,81.312.000đ,5.808.000đ
100,2728,550,18,3.978.000đ,221.000đ
101,444,87,6,54.474.000đ,9.079.000đ
102,2173,262,8,528.000đ,66.000đ
103,387,553,4,3.928.000đ,982.000đ
104,939,458,6,54.954.000đ,9.159.000đ
105,575,453,6,327.744.000đ,54.624.000đ
106,303,210,1,12.064.000đ,12.064.000đ
107,2404,410,18,2.412.000đ,134.000đ
108,916,47,10,133.590.000đ,13.359.000đ
109,901,202,14,40.166.000đ,2.869.000đ
110,2991,351,15,35.085.000đ,2.339.000đ
111,2160,429,9,113.166.000đ,12.574.000đ
112,1289,482,13,29.328.000đ,2.256.000đ
113,805,341,1,5.808.000đ,5.808.000đ
114,1108,356,8,10.384.000đ,1.298.000đ
115,1828,75,20,18.680.000đ,934.000đ
116,2604,11,7,630.000đ,90.000đ
117,621,299,15,4.260.000đ,284.000đ
118,1259,540,10,950.000đ,95.000đ
119,1550,83,3,3.093.000đ,1.031.000đ
120,2878,201,6,1.998.000đ,333.000đ
121,403,359,20,244.240.000đ,12.212.000đ
122,2362,400,6,15.648.000đ,2.608.000đ
123,2024,497,6,3.042.000đ,507.000đ
124,2070,54,15,5.400.000đ,360.000đ
125,146,90,9,134.739.000đ,14.971.000đ
126,1558,517,12,166.128.000đ,13.844.000đ
127,226,566,18,17.838.000đ,991.000đ
128,1115,394,7,12.957.000đ,1.851.000đ
129,736,40,6,726.000đ,121.000đ
130,2252,469,19,5.700.000đ,300.000đ
131,2477,420,9,19.980.000đ,2.220.000đ
132,1555,473,5,310.000đ,62.000đ
133,1151,432,19,79.040.000đ,4.160.000đ
134,2684,264,8,3.912.000đ,489.000đ
135,1432,483,14,8.932.000đ,638.000đ
136,2372,467,8,373.496.000đ,46.687.000đ
137,2465,568,15,1.140.000đ,76.000đ
138,1578,448,12,5.268.000đ,439.000đ
139,2626,300,3,984.000đ,328.000đ
140,1410,445,3,213.000đ,71.000đ
141,2728,408,4,10.396.000đ,2.599.000đ
142,1692,313,8,496.000đ,62.000đ
143,2245,557,20,4.840.000đ,242.000đ
144,815,66,7,490.000đ,70.000đ
145,387,124,6,5.034.000đ,839.000đ
146,212,418,15,217.785.000đ,14.519.000đ
147,2099,148,18,1.764.000đ,98.000đ
148,2563,249,6,14.352.000đ,2.392.000đ
149,1948,520,14,14.028.000đ,1.002.000đ
150,144,476,15,2.520.000đ,168.000đ
151,843,33,12,20.028.000đ,1.669.000đ
152,2005,369,1,4.079.000đ,4.079.000đ
153,2325,290,18,1.548.000đ,86.000đ
154,2131,173,18,40.158.000đ,2.231.000đ
155,278,375,10,17.000.000đ,1.700.000đ
156,115,460,2,34.568.000đ,17.284.000đ
157,690,386,7,15.064.000đ,2.152.000đ
158,2349,403,18,244.332.000đ,13.574.000đ
159,1109,417,13,416.000đ,32.000đ
160,1174,71,9,380.430.000đ,42.270.000đ
161,1210,318,20,33.340.000đ,1.667.000đ
162,1458,24,8,2.584.000đ,323.000đ
163,469,588,18,233.766.000đ,12.987.000đ
164,1705,517,2,27.688.000đ,13.844.000đ
165,811,27,6,55.398.000đ,9.233.000đ
166,2081,148,17,1.666.000đ,98.000đ
167,419,513,14,3.206.000đ,229.000đ
168,2015,205,10,133.830.000đ,13.383.000đ
169,673,563,6,12.222.000đ,2.037.000đ
170,1956,487,5,16.245.000đ,3.249.000đ
171,1236,594,13,468.000đ,36.000đ
172,935,204,16,14.128.000đ,883.000đ
173,2990,241,6,50.130.000đ,8.355.000đ
174,2436,439,13,1.885.000đ,145.000đ
175,2469,447,13,2.093.000đ,161.000đ
176,1116,342,3,4.638.000đ,1.546.000đ
177,2287,131,10,6.220.000đ,622.000đ
178,534,600,2,31.062.000đ,15.531.000đ
179,2011,366,6,13.872.000đ,2.312.000đ
180,2626,538,19,47.481.000đ,2.499.000đ
181,2563,568,20,1.520.000đ,76.000đ
182,1889,432,19,79.040.000đ,4.160.000đ
183,2518,525,6,1.476.000đ,246.000đ
184,2949,3,5,23.865.000đ,4.773.000đ
185,1780,212,2,480.000đ,240.000đ
186,1215,532,15,2.985.000đ,199.000đ
187,914,135,17,168.147.000đ,9.891.000đ
188,2210,24,16,5.168.000đ,323.000đ
189,2170,492,13,45.123.000đ,3.471.000đ
190,2449,536,1,208.000đ,208.000đ
191,2939,389,10,130.650.000đ,13.065.000đ
192,2951,520,13,13.026.000đ,1.002.000đ
193,1675,42,11,5.533.000đ,503.000đ
194,955,155,18,2.160.000đ,120.000đ
195,2041,13,18,756.000đ,42.000đ
196,2456,585,1,3.175.000đ,3.175.000đ
197,704,22,6,264.000đ,44.000đ
198,2202,368,16,3.600.000đ,225.000đ
199,885,115,10,250.000đ,25.000đ
200,2891,23,5,775.000đ,155.000đ
201,1313,558,10,16.520.000đ,1.652.000đ
202,2915,385,8,224.000đ,28.000đ
203,1660,487,11,35.739.000đ,3.249.000đ
204,2291,143,20,520.000đ,26.000đ
205,2982,244,7,868.000đ,124.000đ
206,94,333,11,17.831.000đ,1.621.000đ
207,2037,217,14,18.172.000đ,1.298.000đ
208,495,562,14,3.136.000đ,224.000đ
209,2977,364,8,34.400.000đ,4.300.000đ
210,1559,273,10,31.040.000đ,3.104.000đ
211,1708,377,13,6.409.000đ,493.000đ
212,2496,196,12,159.384.000đ,13.282.000đ
213,1522,577,18,216.972.000đ,12.054.000đ
214,2700,54,8,2.880.000đ,360.000đ
215,1499,321,11,2.750.000đ,250.000đ
