OrderID,CustomerID,OrderDate,TotalAmount,OrderYear,OrderMonth,OrderQuarter,OrderWeekday
1,350,2024-10-14,0,2024,10,4,Thứ Hai
2,298,2024-11-04,0,2024,11,4,Thứ Hai
3,646,2024-02-23,0,2024,2,1,Thứ Sáu
4,195,2024-07-31,0,2024,7,3,Thứ Tư
5,512,2023-09-26,0,2023,9,3,Thứ Ba
6,170,2024-09-14,807,2024,9,3,Thứ Bảy
7,22,2024-08-24,0,2024,8,3,Thứ Bảy
8,439,2023-08-18,0,2023,8,3,Thứ Sáu
9,55,2024-10-23,0,2024,10,4,Thứ Tư
10,482,2023-06-07,726,2023,6,2,Thứ Tư
11,602,2023-09-04,454,2023,9,3,Thứ Hai
12,120,2024-12-17,0,2024,12,4,Thứ Ba
13,570,2023-11-09,982,2023,11,4,Thứ Năm
14,566,2023-12-28,0,2023,12,4,Thứ Năm
15,380,2024-08-01,0,2024,8,3,Thứ Năm
16,352,2023-03-03,0,2023,3,1,Thứ Sáu
17,126,2024-08-27,0,2024,8,3,Thứ Ba
18,556,2024-09-26,0,2024,9,3,Thứ Năm
19,785,2023-09-19,0,2023,9,3,Thứ Ba
20,571,2023-01-12,0,2023,1,1,Thứ Năm
21,268,2024-02-23,0,2024,2,1,Thứ Sáu
22,205,2024-08-27,0,2024,8,3,Thứ Ba
23,643,2024-02-06,0,2024,2,1,Thứ Ba
24,85,2023-04-19,566,2023,4,2,Thứ Tư
25,652,2023-07-20,0,2023,7,3,Thứ Năm
26,557,2024-02-09,0,2024,2,1,Thứ Sáu
27,665,2024-01-02,0,2024,1,1,Thứ Ba
28,250,2023-11-21,0,2023,11,4,Thứ Ba
29,329,2024-12-14,0,2024,12,4,Thứ Bảy
30,243,2023-03-06,0,2023,3,1,Thứ Hai
31,204,2023-08-23,92,2023,8,3,Thứ Tư
32,348,2023-05-01,0,2023,5,2,Thứ Hai
33,303,2023-06-12,0,2023,6,2,Thứ Hai
34,695,2023-11-20,0,2023,11,4,Thứ Hai
35,158,2023-11-05,0,2023,11,4,Chủ Nhật
36,321,2024-08-09,0,2024,8,3,Thứ Sáu
