SupplierID,SupplierName,Phone,Address
1,Phạm Tập Đoàn,0365026596,"332 Ngách Võ Thị Sáu, Phường 15, Bình Thạnh, TP. Hồ Chí Minh"
2,Dương Và Đối Tác Công Ty Tnhh Mtv,016542611,"423 Phố Giải Phóng, Phường 5, Hai Bà Trưng, Hà Nội"
3,Hoàng Và Đối Tác Doanh Nghiệp Tư Nhân,033941230,"892 Hẻm Lê Duẩn, Phường 7, Hai Bà Trưng, Hà Nội"
4,Đặng Và Vũ Công Ty Tnhh Mtv,0679914757,"334 Đường Lê Lợi, Phường 4, Quận 3, TP. Hồ Chí Minh"
5,Đặng Đặng Công Ty Cổ Phần,085226999,"563 Ngách Giải Phóng, Phường 20, Tân Bình, TP. Hồ Chí Minh"
6,Mai Và Đặng Công Ty Tnhh,0274947942,"291 Đường Nguyễn Chí Thanh, Phường 3, Thanh Khê, Đà Nẵng"
7,Dương Công Ty Hợp Danh,0319172977,"353 Ngõ Võ Thị Sáu, Phường 8, Quận 3, TP. Hồ Chí Minh"
8,Lê Và Lê Công Ty Cổ Phần,047407838,"99 Ngõ Hoàng Diệu, Phường 15, Bình Thạnh, TP. Hồ Chí Minh"
9,Vũ Đặng Công Ty Tnhh Mtv,012245678,"625 Ngõ Nam Kỳ Khởi Nghĩa, Phường 8, Ninh Kiều, Cần Thơ"
10,Dương Doanh Nghiệp Tư Nhân,051034884,"561 Ngách Lý Thường Kiệt, Phường 7, Lê Chân, Hải Phòng"
11,Lê Và Đối Tác Công Ty Trách Nhiệm Hữu Hạn,0662442927,"919 Phố Lý Thường Kiệt, Phường 13, Cầu Giấy, Hà Nội"
12,Lê Trần Công Ty Tnhh Mtv,075214833,"132 Đường Láng Hạ, Phường 5, Hai Bà Trưng, Hà Nội"
13,Lê Và Đối Tác Doanh Nghiệp Tư Nhân,049234772,"773 Đường Láng Hạ, Phường 5, Bình Thạnh, TP. Hồ Chí Minh"
14,Nguyễn Và Đặng Tập Đoàn,000277158,"630 Ngách Kim Mã, Phường 1, Thanh Xuân, Hà Nội"
15,Mai Lê Công Ty Hợp Danh,0900978670,"112 Phố Cách Mạng Tháng 8, Phường 16, Quận 3, TP. Hồ Chí Minh"
16,Nguyễn Và Đối Tác Công Ty Trách Nhiệm Hữu Hạn,0530666325,"553 Đường Pasteur, Xã 15, Củ Chi, TP. Hồ Chí Minh"
17,Dương Và Trần Tập Đoàn,065973243,"742 Hẻm Lý Thường Kiệt, Xã 1, Hóc Môn, TP. Hồ Chí Minh"
18,Đặng Mai Doanh Nghiệp Tư Nhân,005437389,"27 Đường Kim Mã, Phường 19, Đống Đa, Hà Nội"
19,Bùi Mai Công Ty Tnhh Mtv,068831297,"718 Hẻm Hai Bà Trưng, Phường 15, Quận 1, TP. Hồ Chí Minh"
20,Nguyễn Và Dương Công Ty Hợp Danh,037614977,"61 Ngách Điện Biên Phủ, Phường 18, Thanh Xuân, Hà Nội"
21,Đặng Công Ty Trách Nhiệm Hữu Hạn,0283974811,"139 Ngách Nguyễn Chí Thanh, Phường 17, Cầu Giấy, Hà Nội"
22,Đặng Và Vũ Công Ty Tnhh Mtv,0403589145,"741 Đường Lý Thường Kiệt, Phường 15, Quận 3, TP. Hồ Chí Minh"
23,Nguyễn Dương Công Ty Tnhh Mtv,081502359,"625 Hẻm Giải Phóng, Phường 19, Hải Châu, Đà Nẵng"
24,Nguyễn Dương Tập Đoàn,047576843,"233 Ngách Trần Hưng Đạo, Phường 18, Cầu Giấy, Hà Nội"
25,Vũ Và Đặng Công Ty Trách Nhiệm Hữu Hạn,0702357615,"553 Ngõ Giải Phóng, Phường 13, Quận 7, TP. Hồ Chí Minh"
26,Mai Công Ty Tnhh Mtv,004108873,"471 Ngõ Pasteur, Phường 6, Quận 3, TP. Hồ Chí Minh"
