OrderDetailID,OrderID,ProductID,Quantity,Price
1,2494,357,2,2237922.0
2,58,195,4,18352012.0
3,1731,132,3,3790869.0
4,2148,39,3,5446272.0
5,2742,12,12,44530356.0
6,341,236,9,41087889.0
7,2451,167,7,34274947.0
8,486,327,8,13195888.0
9,1478,323,5,8496095.0
10,1854,361,20,55087320.0
11,1689,235,1,2377975.0
12,2644,120,7,14827288.0
13,964,346,6,17865348.0
14,755,321,5,16535300.0
15,2079,491,17,11572716.0
16,2041,429,17,34645541.0
17,1883,248,12,36899436.0
18,2237,335,1,4520530.0
19,675,475,17,73339105.0
20,873,19,2,9830984.0
21,2834,62,7,34938554.0
22,654,321,15,49605900.0
23,2563,347,19,72275012.0
24,2821,155,20,23768760.0
25,2186,447,15,40044465.0
26,85,285,14,48548150.0
27,2785,302,18,8212248.0
28,2315,368,18,17298594.0
29,2711,69,14,6670664.0
30,1721,32,4,18633080.0
31,1510,409,6,20006610.0
32,397,389,5,4378385.0
33,1946,77,20,60283780.0
34,263,167,12,58757052.0
35,2630,263,1,121275.0
36,2203,160,2,1752414.0
37,2286,196,17,20069350.0
38,80,423,5,17486600.0
39,1622,111,9,33357006.0
40,2901,226,1,391552.0
41,2858,17,4,15563580.0
42,1014,55,10,36790850.0
43,2404,206,15,9152160.0
44,1967,103,1,1633925.0
45,1665,91,3,11923614.0
46,1407,413,20,33506780.0
47,2391,45,6,11560974.0
48,634,187,4,13500252.0
49,627,170,4,12531400.0
50,2979,82,7,6454994.0
51,951,99,19,70831563.0
52,984,42,7,7418439.0
53,1687,96,7,34976494.0
54,611,491,9,6126732.0
55,724,224,13,10753964.0
56,2314,375,2,3121098.0
57,2727,470,8,20709224.0
58,508,147,8,32213432.0
59,323,488,8,27091136.0
60,1523,122,10,4262300.0
61,2583,202,12,16503540.0
62,2,319,10,32127990.0
63,829,261,2,3694178.0
64,75,112,8,8449152.0
65,1298,221,16,33304288.0
66,313,404,13,57360719.0
67,2187,377,8,25251416.0
68,1598,258,12,32558388.0
69,229,68,11,23772815.0
70,2387,196,17,20069350.0
71,2702,256,15,18106050.0
72,1938,456,8,34128712.0
73,450,10,12,52140816.0
74,2638,495,3,4327209.0
75,1979,150,15,30580470.0
76,646,130,19,66693686.0
77,2429,281,19,24174764.0
78,1261,482,18,33593580.0
79,1621,427,12,14828436.0
80,1520,80,4,18844460.0
81,1795,280,9,9875430.0
82,2108,360,16,18548096.0
83,1809,411,14,8995728.0
84,1955,189,13,28486861.0
85,1168,495,7,10096821.0
86,535,231,15,19593675.0
87,2191,82,4,3688568.0
88,2540,284,10,44424940.0
89,2728,230,9,23988726.0
90,2610,137,13,7402473.0
91,2022,45,9,17341461.0
92,1127,371,18,65323962.0
93,2778,395,6,7281006.0
94,996,164,9,4149099.0
95,1043,380,20,36083300.0
96,2460,97,16,64340224.0
97,1188,349,6,3562806.0
98,555,135,7,11816658.0
99,2186,323,19,32285161.0
100,291,26,10,17866260.0
101,1595,215,1,692708.0
102,1852,336,15,62639220.0
103,768,363,10,30802660.0
104,1776,61,10,5752390.0
105,386,446,7,28057869.0
106,725,155,13,15449694.0
107,255,270,9,16905690.0
108,1743,230,12,31984968.0
109,1051,156,16,4786784.0
110,2030,273,17,68507926.0
111,306,397,14,32730320.0
112,2946,383,16,27034480.0
113,322,240,4,4903996.0
114,1085,300,6,28163730.0
115,667,172,1,1472304.0
116,2787,196,18,21249900.0
117,717,162,6,9450144.0
118,2978,8,7,18769590.0
119,1985,399,20,59973280.0
120,56,329,15,38622870.0
121,1849,67,4,2978416.0
122,2400,455,2,3858870.0
123,836,114,6,21880896.0
124,968,41,6,16372728.0
125,2419,278,9,16138089.0
126,2750,36,19,2674041.0
127,1804,471,6,21890610.0
128,1722,101,16,30855024.0
129,1463,90,15,40556460.0
130,940,160,17,14895519.0
131,1894,439,2,751204.0
132,1266,222,19,56524601.0
133,868,315,17,62122658.0
134,1006,404,18,79422534.0
135,999,34,3,8357835.0
136,1040,6,15,29494770.0
137,2028,30,18,63271440.0
138,937,498,7,24992562.0
139,935,418,2,5244748.0
140,2661,153,19,70922972.0
141,2227,194,12,52833936.0
142,1621,280,14,15361780.0
143,98,195,1,4588003.0
144,1743,278,10,17931210.0
145,2165,122,5,2131150.0
146,491,110,9,37468926.0
147,176,64,19,31048166.0
148,1575,102,4,14355892.0
149,1198,478,2,8542456.0
150,1362,480,18,74482056.0
151,1825,378,15,45177705.0
152,1616,304,7,15857121.0
153,2228,100,12,11257632.0
154,402,70,17,5404538.0
155,793,66,1,3369527.0
156,1087,394,19,19141151.0
157,867,68,16,34578640.0
158,2088,27,20,1298000.0
159,1147,308,18,24852222.0
160,533,373,16,32501536.0
161,2428,472,8,8178528.0
162,907,179,8,15535392.0
163,547,349,16,9500816.0
164,36,427,9,11121327.0
165,453,380,20,36083300.0
166,265,48,12,50338332.0
167,1127,450,20,17313300.0
168,1997,423,10,34973200.0
169,1099,289,20,9741220.0
170,255,311,1,3045658.0
171,1763,445,14,41671084.0
172,545,80,17,80088955.0
173,1342,450,2,1731330.0
174,793,144,7,31055346.0
175,1469,27,2,129800.0
176,769,449,1,1666228.0
177,1948,61,12,6902868.0
178,2835,125,3,9328104.0
179,1377,453,16,39235280.0
180,1543,221,20,41630360.0
181,49,219,16,56150464.0
182,1563,91,2,7949076.0
