SupplierID,SupplierName,Phone,Address
1,Vũ Công ty TNHH,07 3463046,"689 Ngách Hoàng Diệu, Phường 11, Hoàn Kiếm, Hà Nội"
2,Trần và Bùi Công ty Trách nhiệm hữu hạn,(01)986-6274,"740 Phố Điện Biên Phủ, Phường 16, Quận 7, TP. Hồ Chí Minh"
3,Trần và đối tác Tập Đoàn,+84-89-295562,"777 Ngách Giải Phóng, Phường 17, Quận 1, TP. Hồ Chí Minh"
4,Nguyễn Doanh nghiệp tư nhân,+84-03-515409,"521 Ngách Trần Hưng Đạo, Phường 12, Thanh Khê, Đà Nẵng"
5,Hoàng Đặng Công ty Hợp danh,+84-09-089891,"931 Đường Nguyễn Chí Thanh, Phường 7, Đống Đa, Hà Nội"
6,Trần Công ty Cổ phần,(04)754-8353,"657 Phố Trần Phú, Phường 13, Cầu Giấy, Hà Nội"
7,Bùi và đối tác Tập Đoàn,08 2443354,"223 Đường Trường Chinh, Phường 14, Lê Chân, Hải Phòng"
8,Dương Nguyễn Doanh nghiệp tư nhân,(05) 3415 1013,"959 Đường Trần Hưng Đạo, Phường 15, Quận 3, TP. Hồ Chí Minh"
9,Mai và Hoàng Tập Đoàn,+84-73-317785,"161 Ngõ Hai Bà Trưng, Phường 5, Đống Đa, Hà Nội"
10,Đặng và Phạm Công ty Trách nhiệm hữu hạn,+84-07-261 0662,"660 Hẻm Lê Duẩn, Phường 3, Thanh Khê, Đà Nẵng"
11,Mai và đối tác Tập Đoàn,06 3185610,"903 Phố Lê Lợi, Phường 7, Quận 7, TP. Hồ Chí Minh"
12,Lê và Mai Công ty Cổ phần,+84-33-203427,"890 Ngách Nguyễn Chí Thanh, Phường 2, Quận 1, TP. Hồ Chí Minh"
13,Vũ Lê Công ty Trách nhiệm hữu hạn,(04) 7536 7469,"752 Hẻm Pasteur, Phường 20, Thanh Xuân, Hà Nội"
14,Lê và Phạm Công ty Trách nhiệm hữu hạn,+84 94 4615284,"360 Ngách Điện Biên Phủ, Phường 19, Thanh Xuân, Hà Nội"
15,Mai và Mai Doanh nghiệp tư nhân,+84-02-484696,"931 Hẻm Láng Hạ, Phường 8, Thanh Khê, Đà Nẵng"
16,Trần và đối tác Công ty Trách nhiệm hữu hạn,08 0679 7983,"406 Phố Hùng Vương, Phường 15, Đống Đa, Hà Nội"
17,Dương và Bùi Công ty TNHH,(08)147-1736,"978 Đường Phan Chu Trinh, Phường 11, Lê Chân, Hải Phòng"
18,Dương và Vũ Công ty Cổ phần,+84-37-881847,"854 Phố Giải Phóng, Phường 1, Quận 7, TP. Hồ Chí Minh"
19,Phạm và Trần Doanh nghiệp tư nhân,(00)657-4968,"374 Đường Điện Biên Phủ, Phường 4, Cầu Giấy, Hà Nội"
20,Dương Bùi Công ty TNHH MTV,01 7242708,"711 Ngõ Điện Biên Phủ, Phường 3, Đống Đa, Hà Nội"
21,Lê và Nguyễn Công ty TNHH MTV,+84-14-256493,"385 Ngách Ngô Quyền, Phường 14, Tân Bình, TP. Hồ Chí Minh"
22,Bùi và Dương Công ty Hợp danh,(02) 6898 4175,"627 Ngách Giải Phóng, Phường 6, Thanh Xuân, Hà Nội"
23,Nguyễn Tập Đoàn,+84-80-671 9908,"957 Hẻm Võ Thị Sáu, Phường 8, Hoàn Kiếm, Hà Nội"
24,Phạm Hoàng Công ty Trách nhiệm hữu hạn,+84-08-311 4960,"815 Ngõ Lê Hồng Phong, Phường 13, Quận 7, TP. Hồ Chí Minh"
25,Trần và Phạm Công ty TNHH,05 5264 9421,"407 Hẻm Lê Lợi, Phường 20, Tân Bình, TP. Hồ Chí Minh"
26,Bùi Doanh nghiệp tư nhân,+84-12-920161,"86 Phố Hai Bà Trưng, Phường 11, Quận 1, TP. Hồ Chí Minh"
27,Mai Công ty Trách nhiệm hữu hạn,+84-88-143162,"286 Ngõ Võ Thị Sáu, Phường 14, Quận 3, TP. Hồ Chí Minh"
28,Nguyễn và đối tác Công ty Hợp danh,(00) 7614 1263,"238 Ngách Điện Biên Phủ, Phường 13, Hai Bà Trưng, Hà Nội"
29,Hoàng và Trần Doanh nghiệp tư nhân,02 5070865,"364 Phố Nguyễn Huệ, Phường 2, Hai Bà Trưng, Hà Nội"
30,Dương và đối tác Công ty TNHH,+84 05 9228296,"587 Ngõ Hoàng Diệu, Phường 16, Thanh Xuân, Hà Nội"
31,Bùi Công ty Hợp danh,08 9023 8356,"126 Đường Võ Thị Sáu, Phường 10, Ngô Quyền, Hải Phòng"
32,Phạm Phạm Công ty Cổ phần,+84-84-581 8296,"733 Hẻm Trường Chinh, Phường 4, Quận 1, TP. Hồ Chí Minh"
33,Vũ và Dương Công ty Trách nhiệm hữu hạn,06 3891 2315,"31 Hẻm Nguyễn Trãi, Phường 18, Đống Đa, Hà Nội"
34,Hoàng và đối tác Công ty Cổ phần,+84 60 6034445,"213 Ngách Cách Mạng Tháng 8, Phường 16, Đống Đa, Hà Nội"
35,Bùi Công ty TNHH MTV,+84-30-661883,"545 Ngách Láng Hạ, Phường 6, Quận 1, TP. Hồ Chí Minh"
36,Phạm Phạm Công ty Trách nhiệm hữu hạn,00 7210 0933,"581 Hẻm Hùng Vương, Phường 1, Hoàn Kiếm, Hà Nội"
37,Nguyễn Doanh nghiệp tư nhân,(00) 0370 7829,"457 Đường Nguyễn Huệ, Phường 5, Quận 3, TP. Hồ Chí Minh"
38,Vũ Phạm Công ty Trách nhiệm hữu hạn,+84-58-684 5237,"653 Phố Pasteur, Phường 9, Hai Bà Trưng, Hà Nội"
39,Trần Công ty Hợp danh,+84-09-501798,"670 Phố Giải Phóng, Phường 9, Thanh Xuân, Hà Nội"
40,Trần Công ty Cổ phần,+84-35-609258,"826 Ngách Ngô Quyền, Phường 15, Tân Bình, TP. Hồ Chí Minh"
41,Nguyễn Đặng Doanh nghiệp tư nhân,+84-03-176 3732,"783 Ngách Trần Hưng Đạo, Phường 19, Hai Bà Trưng, Hà Nội"
42,Trần và đối tác Tập Đoàn,(09)255-0609,"104 Ngách Võ Thị Sáu, Phường 17, Hai Bà Trưng, Hà Nội"
43,Bùi Công ty Trách nhiệm hữu hạn,03 7673742,"762 Phố Lê Lợi, Phường 16, Bình Thạnh, TP. Hồ Chí Minh"
44,Phạm Công ty Hợp danh,+84 65 7685756,"789 Ngõ Kim Mã, Phường 4, Hai Bà Trưng, Hà Nội"
45,Mai và đối tác Công ty Trách nhiệm hữu hạn,09 0224 6998,"491 Ngách Nam Kỳ Khởi Nghĩa, Phường 14, Hải Châu, Đà Nẵng"
46,Trần Bùi Doanh nghiệp tư nhân,+84-98-912 1036,"109 Ngách Hùng Vương, Phường 14, Hai Bà Trưng, Hà Nội"
47,Nguyễn và đối tác Tập Đoàn,(03)326-9666,"739 Đường Lý Thường Kiệt, Phường 2, Hải Châu, Đà Nẵng"
48,Vũ và đối tác Tập Đoàn,+84-94-879683,"670 Phố Lê Duẩn, Phường 4, Cầu Giấy, Hà Nội"
49,Đặng Vũ Công ty TNHH MTV,+84 66 0613204,"347 Đường Lê Lợi, Phường 6, Lê Chân, Hải Phòng"
50,Bùi và đối tác Công ty Trách nhiệm hữu hạn,(02)461-4144,"453 Hẻm Lý Thường Kiệt, Phường 14, Ngô Quyền, Hải Phòng"
51,Bùi Công ty Cổ phần,(09) 6107 2159,"200 Ngách Trần Phú, Phường 20, Hai Bà Trưng, Hà Nội"
52,Lê Dương Doanh nghiệp tư nhân,+84 95 7251279,"787 Phố Nguyễn Trãi, Xã 18, Củ Chi, TP. Hồ Chí Minh"
53,Lê Trần Công ty Trách nhiệm hữu hạn,06 8856 8926,"696 Ngách Cách Mạng Tháng 8, Phường 12, Quận 7, TP. Hồ Chí Minh"
54,Phạm Trần Tập Đoàn,+84-41-721 5618,"559 Hẻm Giải Phóng, Phường 15, Tân Bình, TP. Hồ Chí Minh"
55,Đặng Lê Công ty TNHH MTV,08 8840 1167,"799 Hẻm Lý Thường Kiệt, Phường 8, Ninh Kiều, Cần Thơ"
56,Nguyễn Nguyễn Tập Đoàn,01 3533712,"498 Đường Ngô Quyền, Phường 2, Quận 1, TP. Hồ Chí Minh"
57,Đặng và đối tác Doanh nghiệp tư nhân,(04)838-1521,"152 Đường Nguyễn Chí Thanh, Phường 1, Tân Bình, TP. Hồ Chí Minh"
58,Phạm Công ty Trách nhiệm hữu hạn,+84-93-328 7478,"523 Hẻm Nam Kỳ Khởi Nghĩa, Phường 16, Bình Thạnh, TP. Hồ Chí Minh"
59,Nguyễn Công ty TNHH,02 3390 2171,"486 Đường Trường Chinh, Phường 10, Hải Châu, Đà Nẵng"
60,Bùi Nguyễn Công ty Cổ phần,03 8446216,"222 Đường Nam Kỳ Khởi Nghĩa, Phường 1, Đống Đa, Hà Nội"
61,Hoàng và đối tác Công ty TNHH,+84-66-953453,"281 Ngõ Trần Phú, Phường 16, Quận 3, TP. Hồ Chí Minh"
