InventoryID,ProductID,QuantityInStock,LastUpdated,StockStatus
1,1,163,2025-06-15 12:04:10,Normal
2,2,63,2025-12-19 02:52:39,Normal
3,3,118,2025-08-13 08:06:56,Normal
4,4,35,2025-05-22 01:43:03,Low
5,5,256,2026-04-16 02:41:53,High
6,6,297,2025-07-20 01:49:56,High
7,7,120,2026-03-10 21:00:21,Normal
8,8,321,2025-10-17 08:14:31,High
9,9,401,2025-07-12 22:51:59,High
10,10,479,2026-02-27 04:57:55,High
11,11,261,2025-08-13 15:01:29,High
12,12,91,2025-10-29 13:18:02,Normal
13,13,349,2025-06-06 13:09:33,High
14,14,1,2025-08-26 19:57:14,Low
15,15,333,2026-04-24 16:07:56,High
16,16,144,2025-11-11 17:52:20,Normal
17,17,182,2025-09-24 01:37:27,Normal
18,18,179,2026-03-21 11:30:22,Normal
19,19,85,2026-03-13 10:13:10,Normal
20,20,377,2025-12-24 12:00:00,High
21,21,403,2025-05-31 15:46:13,High
22,22,158,2025-05-31 16:40:28,Normal
23,23,417,2025-12-21 01:33:33,High
24,24,277,2025-11-10 13:59:06,High
25,25,29,2025-11-20 11:43:24,Low
26,26,43,2026-01-15 03:17:16,Low
27,27,368,2026-03-18 16:11:01,High
28,28,234,2025-08-23 01:46:58,High
29,29,281,2026-01-31 05:55:02,High
30,30,175,2026-03-31 10:54:11,Normal
31,31,172,2025-06-10 07:46:15,Normal
32,32,20,2025-09-01 01:08:07,Low
33,33,327,2025-10-11 09:30:35,High
34,34,382,2025-10-16 03:55:26,High
35,35,465,2025-06-10 07:02:19,High
36,36,425,2025-12-24 10:01:12,High
37,37,500,2025-07-23 14:21:47,High
38,38,476,2025-09-18 19:07:54,High
39,39,87,2025-10-27 05:18:49,Normal
40,40,317,2026-04-09 08:39:40,High
41,41,289,2025-09-29 15:21:17,High
42,42,445,2026-03-27 04:04:49,High
43,43,356,2025-06-29 21:45:09,High
44,44,359,2026-01-09 23:20:15,High
45,45,337,2026-02-17 12:39:14,High
46,46,389,2025-07-26 02:11:07,High
47,47,69,2025-05-15 10:37:12,Normal
48,48,231,2026-04-03 14:32:04,High
49,49,224,2025-10-08 23:03:42,High
50,50,288,2025-11-27 01:57:15,High
51,51,182,2025-07-18 05:30:47,Normal
52,52,11,2025-08-10 15:25:33,Low
53,53,474,2025-10-23 00:35:00,High
54,54,332,2025-10-13 04:31:52,High
55,55,222,2026-05-01 17:12:28,High
56,56,140,2026-03-22 13:24:08,Normal
57,57,191,2025-06-16 03:33:23,Normal
58,58,448,2026-03-11 05:11:54,High
59,59,143,2025-12-26 16:53:33,Normal
60,60,53,2025-05-14 00:39:56,Normal
61,61,90,2025-05-14 10:15:52,Normal
62,62,187,2025-06-03 17:29:04,Normal
63,63,107,2025-07-30 02:27:17,Normal
64,64,314,2026-02-17 04:09:37,High
65,65,75,2025-08-01 14:00:50,Normal
66,66,407,2025-05-22 08:03:01,High
67,67,347,2026-02-16 00:31:45,High
68,68,299,2026-04-14 11:09:41,High
69,69,445,2026-04-17 15:56:19,High
70,70,473,2026-01-09 00:29:02,High
71,71,254,2025-07-26 18:39:57,High
72,72,254,2025-10-12 23:30:56,High
73,73,29,2026-02-14 20:10:22,Low
74,74,400,2026-03-23 06:19:56,High
75,75,239,2026-01-30 21:17:59,High
76,76,311,2025-08-12 01:57:58,High
77,77,238,2025-09-20 09:59:31,High
78,78,60,2025-11-09 06:16:21,Normal
79,79,206,2026-04-20 04:27:16,High
80,80,386,2026-01-04 11:58:29,High
81,81,470,2025-09-01 06:15:31,High
82,82,202,2026-03-29 07:17:54,High
83,83,386,2025-12-14 16:26:54,High
84,84,112,2025-07-01 15:29:43,Normal
85,85,204,2025-07-16 07:01:53,High
86,86,226,2025-06-28 20:35:50,High
87,87,313,2025-06-29 00:32:43,High
88,88,483,2026-04-09 14:05:39,High
89,89,163,2025-11-10 17:08:16,Normal
90,90,18,2025-09-19 08:14:13,Low
91,91,195,2026-01-05 11:56:42,Normal
92,92,219,2025-10-10 14:46:02,High
93,93,164,2025-07-03 01:58:32,Normal
94,94,416,2025-11-26 11:37:26,High
95,95,268,2025-06-14 04:43:17,High
96,96,87,2025-05-15 23:42:05,Normal
97,97,58,2025-05-29 17:47:59,Normal
98,98,33,2025-10-22 09:39:21,Low
99,99,188,2026-03-28 17:53:22,Normal
100,100,124,2025-08-11 12:33:11,Normal
101,101,32,2025-05-10 17:06:14,Low
102,102,155,2026-04-05 14:47:21,Normal
103,103,425,2025-07-26 16:53:26,High
104,104,163,2025-12-24 10:30:32,Normal
105,105,217,2026-04-10 06:30:21,High
106,106,214,2025-11-12 05:27:52,High
107,107,405,2025-09-04 10:07:26,High
108,108,137,2025-10-24 13:09:43,Normal
109,109,163,2025-07-29 13:07:50,Normal
110,110,8,2026-04-29 09:35:29,Low
111,111,70,2025-10-01 22:32:24,Normal
112,112,81,2026-04-01 17:28:09,Normal
113,113,37,2025-05-25 03:12:32,Low
114,114,59,2026-01-06 00:16:16,Normal
115,115,9,2025-08-27 03:10:54,Low
116,116,337,2025-08-10 18:36:25,High
117,117,405,2025-08-26 01:16:23,High
118,118,484,2025-05-26 19:09:07,High
119,119,313,2025-06-21 03:14:37,High
120,120,488,2025-11-14 09:02:25,High
121,121,314,2025-08-24 15:10:09,High
122,122,344,2025-07-30 06:07:32,High
123,123,127,2025-07-09 09:57:38,Normal
124,124,183,2026-01-30 15:17:19,Normal
125,125,72,2025-09-11 11:50:49,Normal
126,126,498,2026-03-08 17:37:26,High
127,127,101,2026-05-01 20:41:36,Normal
128,128,126,2025-12-23 16:22:34,Normal
129,129,193,2025-07-04 12:52:24,Normal
130,130,160,2025-11-06 21:48:26,Normal
131,131,274,2025-05-30 05:30:34,High
132,132,495,2025-08-21 06:22:38,High
133,133,101,2026-04-11 08:24:48,Normal
134,134,392,2026-03-19 14:46:45,High
135,135,277,2025-11-26 07:45:21,High
