OrderID,CustomerID,OrderDate,TotalAmount,OrderYear,OrderMonth,OrderQuarter,OrderWeekday
1,244,2023-07-21,23850038.0,2023,7,3,Friday
2,487,2024-12-03,17374300.0,2024,12,4,Tuesday
3,491,2023-01-20,74747402.0,2023,1,1,Friday
4,249,2024-08-25,58173270.0,2024,8,3,Sunday
5,413,2024-10-17,52741857.0,2024,10,4,Thursday
6,188,2024-05-18,25111412.0,2024,5,2,Saturday
7,70,2023-06-20,38067608.0,2023,6,2,Tuesday
8,5,2024-09-09,37195682.0,2024,9,3,Monday
9,313,2024-07-20,21537541.0,2024,7,3,Saturday
10,263,2024-08-16,18071590.0,2024,8,3,Friday
11,287,2024-12-14,54537357.0,2024,12,4,Saturday
12,439,2023-10-17,54753644.0,2023,10,4,Tuesday
13,221,2023-07-23,123896635.0,2023,7,3,Sunday
14,468,2023-08-22,0.0,2023,8,3,Tuesday
15,392,2023-10-17,38067608.0,2023,10,4,Tuesday
16,244,2023-07-07,39572154.0,2023,7,3,Friday
17,321,2023-12-22,16732858.0,2023,12,4,Friday
18,10,2023-02-07,18881374.0,2023,2,1,Tuesday
19,67,2024-08-04,69358550.0,2024,8,3,Sunday
20,156,2024-04-30,21446758.0,2024,4,2,Tuesday
21,2,2023-06-25,30826807.0,2023,6,2,Sunday
22,449,2023-12-10,43376626.0,2023,12,4,Sunday
23,321,2024-08-25,159081260.0,2024,8,3,Sunday
24,316,2024-05-05,0.0,2024,5,2,Sunday
25,89,2023-10-09,102328156.0,2023,10,4,Monday
26,264,2023-07-25,133673918.0,2023,7,3,Tuesday
27,49,2024-07-01,23757586.0,2024,7,3,Monday
28,13,2024-04-08,75346038.0,2024,4,2,Monday
29,77,2024-04-17,0.0,2024,4,2,Wednesday
30,385,2023-01-24,44271672.0,2023,1,1,Tuesday
31,271,2023-12-21,26844531.0,2023,12,4,Thursday
32,136,2024-09-27,12650852.0,2024,9,3,Friday
33,38,2024-09-27,88455912.0,2024,9,3,Friday
34,496,2024-03-19,56295506.0,2024,3,1,Tuesday
35,274,2024-08-09,77419006.0,2024,8,3,Friday
36,32,2024-10-02,9533816.0,2024,10,4,Wednesday
37,199,2023-03-24,4813985.0,2023,3,1,Friday
38,410,2023-10-12,187500037.0,2023,10,4,Thursday
39,495,2023-07-30,43560448.0,2023,7,3,Sunday
40,390,2023-09-18,132851456.0,2023,9,3,Monday
41,384,2024-09-15,55213553.0,2024,9,3,Sunday
42,359,2023-05-07,112441310.0,2023,5,2,Sunday
43,444,2023-10-01,145104642.0,2023,10,4,Sunday
44,174,2023-10-12,16595454.0,2023,10,4,Thursday
45,428,2023-05-25,26307988.0,2023,5,2,Thursday
46,375,2024-03-24,109478598.0,2024,3,1,Sunday
47,79,2023-12-07,62525888.0,2023,12,4,Thursday
48,129,2023-08-04,1727257.0,2023,8,3,Friday
49,69,2023-03-29,69379080.0,2023,3,1,Wednesday
50,177,2023-06-01,52833984.0,2023,6,2,Thursday
51,416,2024-07-11,56070520.0,2024,7,3,Thursday
52,115,2023-06-21,36749208.0,2023,6,2,Wednesday
53,238,2024-06-07,69869104.0,2024,6,2,Friday
54,21,2023-01-04,102680890.0,2023,1,1,Wednesday
55,194,2024-10-14,12977971.0,2024,10,4,Monday
56,128,2023-04-06,138646429.0,2023,4,2,Thursday
57,21,2023-08-18,113507927.0,2023,8,3,Friday
58,25,2023-08-16,30149712.0,2023,8,3,Wednesday
59,16,2023-12-22,16387998.0,2023,12,4,Friday
60,68,2023-01-15,80697374.0,2023,1,1,Sunday
61,261,2024-09-10,79388856.0,2024,9,3,Tuesday
62,392,2023-01-22,87550194.0,2023,1,1,Sunday
63,332,2023-08-12,31767390.0,2023,8,3,Saturday
64,108,2023-03-19,113684278.0,2023,3,1,Sunday
65,445,2023-12-18,53873862.0,2023,12,4,Monday
66,178,2024-04-01,129932720.0,2024,4,2,Monday
67,212,2024-07-21,16308174.0,2024,7,3,Sunday
68,227,2024-03-11,0.0,2024,3,1,Monday
69,57,2024-02-06,38938384.0,2024,2,1,Tuesday
70,310,2024-08-12,22931205.0,2024,8,3,Monday
71,184,2024-06-14,31224511.0,2024,6,2,Friday
72,158,2024-01-04,105946950.0,2024,1,1,Thursday
73,225,2023-03-02,104101748.0,2023,3,1,Thursday
74,430,2024-05-07,76976872.0,2024,5,2,Tuesday
75,134,2024-02-07,32308687.0,2024,2,1,Wednesday
76,365,2024-06-24,40464496.0,2024,6,2,Monday
77,286,2024-06-24,16027718.0,2024,6,2,Monday
78,25,2024-12-20,75152222.0,2024,12,4,Friday
79,138,2024-08-11,101085725.0,2024,8,3,Sunday
80,494,2023-02-27,13631922.0,2023,2,1,Monday
81,429,2023-11-27,84129214.0,2023,11,4,Monday
82,31,2024-06-09,19165355.0,2024,6,2,Sunday
83,385,2024-06-01,13268280.0,2024,6,2,Saturday
84,433,2023-08-14,47438415.0,2023,8,3,Monday
85,104,2024-11-28,18272763.0,2024,11,4,Thursday
86,393,2023-05-11,47797058.0,2023,5,2,Thursday
87,45,2023-07-07,121984273.0,2023,7,3,Friday
88,357,2024-09-07,0.0,2024,9,3,Saturday
89,453,2023-03-26,19918747.0,2023,3,1,Sunday
90,445,2024-02-29,55572430.0,2024,2,1,Thursday
91,481,2024-06-16,48545748.0,2024,6,2,Sunday
92,146,2024-09-24,387490.0,2024,9,3,Tuesday
93,6,2023-11-27,0.0,2023,11,4,Monday
94,414,2023-10-27,59876940.0,2023,10,4,Friday
95,143,2024-03-24,85397698.0,2024,3,1,Sunday
96,325,2024-11-02,69444513.0,2024,11,4,Saturday
97,229,2024-02-22,97631522.0,2024,2,1,Thursday
98,381,2024-02-11,21473712.0,2024,2,1,Sunday
99,213,2023-02-08,6462924.0,2023,2,1,Wednesday
100,392,2023-09-21,22902500.0,2023,9,3,Thursday
101,462,2023-08-01,26126255.0,2023,8,3,Tuesday
102,162,2024-11-23,80236123.0,2024,11,4,Saturday
103,390,2024-07-15,21343007.0,2024,7,3,Monday
104,43,2024-03-21,127412611.0,2024,3,1,Thursday
105,412,2024-04-16,0.0,2024,4,2,Tuesday
106,386,2024-11-11,54312168.0,2024,11,4,Monday
107,167,2024-05-13,217445976.0,2024,5,2,Monday
108,287,2024-02-11,137054801.0,2024,2,1,Sunday
109,163,2023-04-25,6807364.0,2023,4,2,Tuesday
110,323,2023-10-05,4659828.0,2023,10,4,Thursday
111,255,2023-01-11,61182928.0,2023,1,1,Wednesday
112,195,2024-09-17,66362132.0,2024,9,3,Tuesday
113,122,2023-01-11,0.0,2023,1,1,Wednesday
114,169,2023-12-08,33255070.0,2023,12,4,Friday
115,229,2023-08-20,53072898.0,2023,8,3,Sunday
116,449,2024-05-25,71927495.0,2024,5,2,Saturday
117,428,2023-04-05,110044687.0,2023,4,2,Wednesday
118,19,2023-07-28,39699125.0,2023,7,3,Friday
119,49,2024-06-13,93807390.0,2024,6,2,Thursday
120,84,2024-05-17,34842200.0,2024,5,2,Friday
121,500,2023-05-11,51927282.0,2023,5,2,Thursday
122,337,2023-12-17,0.0,2023,12,4,Sunday
123,455,2023-10-27,104154694.0,2023,10,4,Friday
124,432,2023-07-08,0.0,2023,7,3,Saturday
125,214,2023-12-10,142433666.0,2023,12,4,Sunday
126,250,2024-05-08,0.0,2024,5,2,Wednesday
127,294,2024-04-20,74317602.0,2024,4,2,Saturday
128,208,2023-10-14,119800213.0,2023,10,4,Saturday
129,399,2024-11-21,18208701.0,2024,11,4,Thursday
130,426,2024-02-02,0.0,2024,2,1,Friday
131,282,2024-03-05,69816860.0,2024,3,1,Tuesday
132,296,2024-09-16,256981302.0,2024,9,3,Monday
133,39,2024-09-10,14756358.0,2024,9,3,Tuesday
134,22,2024-03-23,0.0,2024,3,1,Saturday
135,40,2023-06-27,38725424.0,2023,6,2,Tuesday
136,319,2023-04-26,3596544.0,2023,4,2,Wednesday
137,46,2024-03-07,51337307.0,2024,3,1,Thursday
138,112,2024-09-11,155462013.0,2024,9,3,Wednesday
139,25,2023-06-03,0.0,2023,6,2,Saturday
140,444,2023-04-17,4449882.0,2023,4,2,Monday
141,444,2023-12-26,137800510.0,2023,12,4,Tuesday
142,476,2023-10-05,0.0,2023,10,4,Thursday
143,3,2024-12-09,61097088.0,2024,12,4,Monday
144,59,2023-06-24,76273052.0,2023,6,2,Saturday
145,67,2024-05-28,51902951.0,2024,5,2,Tuesday
146,127,2023-11-03,33620376.0,2023,11,4,Friday
147,357,2024-03-28,30712381.0,2024,3,1,Thursday
148,52,2023-03-24,47020139.0,2023,3,1,Friday
149,15,2024-04-02,182759980.0,2024,4,2,Tuesday
150,418,2024-04-09,48121728.0,2024,4,2,Tuesday
151,138,2024-03-03,161296770.0,2024,3,1,Sunday
152,151,2024-07-27,142387162.0,2024,7,3,Saturday
153,444,2023-09-18,164091295.0,2023,9,3,Monday
154,182,2024-05-08,8576280.0,2024,5,2,Wednesday
155,436,2023-06-13,195168760.0,2023,6,2,Tuesday
156,19,2023-02-09,0.0,2023,2,1,Thursday
157,86,2024-03-09,84829974.0,2024,3,1,Saturday
158,149,2024-04-28,26337654.0,2024,4,2,Sunday
