SupplierID,SupplierName,Phone,Address
1,Lê Mai Tập Đoàn,098950645,"824 Hẻm Trần Phú, Phường 17, Quận 1, TP. Hồ Chí Minh"
2,Bùi Và Đối Tác Doanh Nghiệp Tư Nhân,0999580584,"22 Đường Võ Thị Sáu, Xã 19, Hóc Môn, TP. Hồ Chí Minh"
3,Lê Và Lê Tập Đoàn,086547843,"654 Phố Lê Duẩn, Phường 7, Ninh Kiều, Cần Thơ"
4,Bùi Bùi Doanh Nghiệp Tư Nhân,016288467,"891 Đường Lê Duẩn, Phường 19, Ngô Quyền, Hải Phòng"
5,Phạm Phạm Tập Đoàn,093798101,"581 Ngõ Lê Duẩn, Phường 15, Quận 7, TP. Hồ Chí Minh"
6,Lê Và Đối Tác Công Ty Hợp Danh,085723869,"640 Hẻm Kim Mã, Phường 5, Ngô Quyền, Hải Phòng"
7,Hoàng Doanh Nghiệp Tư Nhân,0063585475,"189 Phố Hai Bà Trưng, Phường 4, Hai Bà Trưng, Hà Nội"
8,Dương Mai Doanh Nghiệp Tư Nhân,060795151,"160 Hẻm Kim Mã, Phường 6, Tân Bình, TP. Hồ Chí Minh"
9,Vũ Vũ Doanh Nghiệp Tư Nhân,0956213815,"10 Đường Cách Mạng Tháng 8, Phường 20, Tân Bình, TP. Hồ Chí Minh"
10,Trần Và Đối Tác Công Ty Cổ Phần,084672681,"442 Phố Trường Chinh, Phường 1, Tân Bình, TP. Hồ Chí Minh"
11,Dương Mai Công Ty Trách Nhiệm Hữu Hạn,0386933316,"888 Hẻm Kim Mã, Phường 12, Bình Thạnh, TP. Hồ Chí Minh"
12,Hoàng Và Lê Công Ty Hợp Danh,0331621561,"691 Phố Trần Hưng Đạo, Phường 20, Thanh Xuân, Hà Nội"
13,Lê Doanh Nghiệp Tư Nhân,0611641243,"580 Ngõ Nam Kỳ Khởi Nghĩa, Phường 20, Cầu Giấy, Hà Nội"
14,Mai Và Đối Tác Doanh Nghiệp Tư Nhân,013484639,"518 Phố Lê Lợi, Phường 10, Đống Đa, Hà Nội"
15,Mai Vũ Doanh Nghiệp Tư Nhân,0049199186,"612 Ngõ Đinh Tiên Hoàng, Phường 19, Thanh Xuân, Hà Nội"
16,Dương Và Đối Tác Công Ty Tnhh Mtv,0836936945,"590 Phố Cách Mạng Tháng 8, Phường 18, Tân Bình, TP. Hồ Chí Minh"
17,Vũ Và Mai Công Ty Tnhh Mtv,0886342848,"866 Ngách Lê Duẩn, Phường 10, Cầu Giấy, Hà Nội"
18,Trần Mai Công Ty Trách Nhiệm Hữu Hạn,0060521434,"110 Hẻm Láng Hạ, Phường 18, Quận 3, TP. Hồ Chí Minh"
19,Bùi Công Ty Tnhh Mtv,0959653279,"132 Đường Lê Lợi, Xã 2, Củ Chi, TP. Hồ Chí Minh"
